status file for recon-all
Thu Jan  4 17:57:21 UTC 2018
#@# MotionCor Thu Jan  4 17:57:26 UTC 2018
#@# Talairach Thu Jan  4 17:57:43 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:03:26 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:03:26 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:08:25 UTC 2018
#@# Skull Stripping Thu Jan  4 18:12:38 UTC 2018
#@# EM Registration Thu Jan  4 18:54:41 UTC 2018
#@# CA Normalize Thu Jan  4 19:32:39 UTC 2018
#@# CA Reg Thu Jan  4 19:35:54 UTC 2018
#@# SubCort Seg Fri Jan  5 00:50:16 UTC 2018
#@# Merge ASeg Fri Jan  5 02:51:15 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 02:51:15 UTC 2018
#@# Mask BFS Fri Jan  5 02:56:45 UTC 2018
#@# WM Segmentation Fri Jan  5 02:56:48 UTC 2018
#@# Fill Fri Jan  5 03:00:36 UTC 2018
#@# Tessellate lh Fri Jan  5 03:01:58 UTC 2018
#@# Tessellate rh Fri Jan  5 03:02:07 UTC 2018
#@# Smooth1 lh Fri Jan  5 03:02:15 UTC 2018
#@# Smooth1 rh Fri Jan  5 03:02:24 UTC 2018
#@# Inflation1 lh Fri Jan  5 03:02:31 UTC 2018
#@# Inflation1 rh Fri Jan  5 03:03:20 UTC 2018
#@# QSphere lh Fri Jan  5 03:04:09 UTC 2018
#@# QSphere rh Fri Jan  5 03:09:28 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 03:14:39 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 03:14:39 UTC 2018
#@# Fix Topology lh Fri Jan  5 03:14:39 UTC 2018
#@# Fix Topology rh Fri Jan  5 03:59:06 UTC 2018
#@# Make White Surf lh Fri Jan  5 04:33:02 UTC 2018
#@# Make White Surf rh Fri Jan  5 04:39:55 UTC 2018
#@# Smooth2 lh Fri Jan  5 04:46:49 UTC 2018
#@# Smooth2 rh Fri Jan  5 04:46:57 UTC 2018
#@# Inflation2 lh Fri Jan  5 04:47:05 UTC 2018
#@# Inflation2 rh Fri Jan  5 04:47:53 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 04:48:41 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 04:50:44 UTC 2018
#@# Curvature Stats lh Fri Jan  5 04:52:55 UTC 2018
#@# Curvature Stats rh Fri Jan  5 04:53:00 UTC 2018
#@# Sphere lh Fri Jan  5 04:53:06 UTC 2018
#@# Sphere rh Fri Jan  5 05:51:32 UTC 2018
#@# Surf Reg lh Fri Jan  5 07:02:45 UTC 2018
#@# Surf Reg rh Fri Jan  5 08:11:27 UTC 2018
#@# Jacobian white lh Fri Jan  5 09:29:56 UTC 2018
#@# Jacobian white rh Fri Jan  5 09:29:59 UTC 2018
#@# AvgCurv lh Fri Jan  5 09:30:03 UTC 2018
#@# AvgCurv rh Fri Jan  5 09:30:06 UTC 2018
#@# Cortical Parc lh Fri Jan  5 09:30:08 UTC 2018
#@# Cortical Parc rh Fri Jan  5 09:30:32 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 09:30:56 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 09:52:23 UTC 2018
#@# Surf Volume lh Fri Jan  5 10:13:50 UTC 2018
#@# Surf Volume rh Fri Jan  5 10:13:55 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 10:14:00 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 10:30:40 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 10:32:41 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 10:34:42 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 10:35:10 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 10:35:38 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 10:36:40 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 10:37:43 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 10:38:05 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 10:38:26 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 10:39:26 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 10:40:29 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 10:40:38 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 10:40:46 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 10:41:23 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 10:48:43 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 10:56:09 UTC 2018
#@# APas-to-ASeg Fri Jan  5 11:03:37 UTC 2018
#@# ASeg Stats Fri Jan  5 11:03:49 UTC 2018
#@# WMParc Fri Jan  5 11:10:18 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 11:27:20 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 11:35:18 UTC 2018
recon-all -s 3433 finished without error at Fri Jan  5 11:43:01 UTC 2018
