status file for recon-all
Wed Jan  3 18:55:18 UTC 2018
#@# MotionCor Wed Jan  3 18:55:26 UTC 2018
#@# Talairach Wed Jan  3 18:55:51 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 18:59:47 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 18:59:47 UTC 2018
#@# Intensity Normalization Wed Jan  3 19:04:34 UTC 2018
#@# Skull Stripping Wed Jan  3 19:09:30 UTC 2018
#@# EM Registration Wed Jan  3 19:48:02 UTC 2018
#@# CA Normalize Wed Jan  3 20:30:58 UTC 2018
#@# CA Reg Wed Jan  3 20:34:30 UTC 2018
#@# SubCort Seg Thu Jan  4 02:04:25 UTC 2018
#@# Merge ASeg Thu Jan  4 04:06:47 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 04:06:47 UTC 2018
#@# Mask BFS Thu Jan  4 04:15:03 UTC 2018
#@# WM Segmentation Thu Jan  4 04:15:08 UTC 2018
#@# Fill Thu Jan  4 04:19:37 UTC 2018
#@# Tessellate lh Thu Jan  4 04:21:41 UTC 2018
#@# Tessellate rh Thu Jan  4 04:21:56 UTC 2018
#@# Smooth1 lh Thu Jan  4 04:22:12 UTC 2018
#@# Smooth1 rh Thu Jan  4 04:22:24 UTC 2018
#@# Inflation1 lh Thu Jan  4 04:22:35 UTC 2018
#@# Inflation1 rh Thu Jan  4 04:23:48 UTC 2018
#@# QSphere lh Thu Jan  4 04:25:00 UTC 2018
#@# QSphere rh Thu Jan  4 04:32:37 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 04:41:03 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 04:41:03 UTC 2018
#@# Fix Topology lh Thu Jan  4 04:41:03 UTC 2018
#@# Fix Topology rh Thu Jan  4 05:43:46 UTC 2018
#@# Make White Surf lh Thu Jan  4 06:28:11 UTC 2018
#@# Make White Surf rh Thu Jan  4 06:38:47 UTC 2018
#@# Smooth2 lh Thu Jan  4 06:49:32 UTC 2018
#@# Smooth2 rh Thu Jan  4 06:49:44 UTC 2018
#@# Inflation2 lh Thu Jan  4 06:49:56 UTC 2018
#@# Inflation2 rh Thu Jan  4 06:51:11 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 06:52:21 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 06:55:17 UTC 2018
#@# Curvature Stats lh Thu Jan  4 06:58:17 UTC 2018
#@# Curvature Stats rh Thu Jan  4 06:58:26 UTC 2018
#@# Sphere lh Thu Jan  4 06:58:34 UTC 2018
#@# Sphere rh Thu Jan  4 08:28:40 UTC 2018
#@# Surf Reg lh Thu Jan  4 09:28:07 UTC 2018
#@# Surf Reg rh Thu Jan  4 11:02:39 UTC 2018
#@# Jacobian white lh Thu Jan  4 12:49:37 UTC 2018
#@# Jacobian white rh Thu Jan  4 12:49:41 UTC 2018
#@# AvgCurv lh Thu Jan  4 12:49:44 UTC 2018
#@# AvgCurv rh Thu Jan  4 12:49:48 UTC 2018
#@# Cortical Parc lh Thu Jan  4 12:49:51 UTC 2018
#@# Cortical Parc rh Thu Jan  4 12:50:19 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 12:50:46 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 13:18:40 UTC 2018
#@# Surf Volume lh Thu Jan  4 13:46:43 UTC 2018
#@# Surf Volume rh Thu Jan  4 13:46:50 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 13:46:57 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 14:13:05 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 14:15:17 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 14:17:29 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 14:17:59 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 14:18:29 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 14:19:35 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 14:20:43 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 14:21:05 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 14:21:28 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 14:22:31 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 14:23:35 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 14:23:45 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 14:23:54 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 14:24:30 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 14:31:51 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 14:38:54 UTC 2018
#@# APas-to-ASeg Thu Jan  4 14:45:50 UTC 2018
#@# ASeg Stats Thu Jan  4 14:46:01 UTC 2018
#@# WMParc Thu Jan  4 14:53:08 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 15:10:13 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 15:18:02 UTC 2018
recon-all -s 3377 finished without error at Thu Jan  4 15:25:53 UTC 2018
