status file for recon-all
Thu Jan  4 17:57:09 UTC 2018
#@# MotionCor Thu Jan  4 17:57:14 UTC 2018
#@# Talairach Thu Jan  4 17:57:31 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:02:54 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:02:54 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:08:05 UTC 2018
#@# Skull Stripping Thu Jan  4 18:12:28 UTC 2018
#@# EM Registration Thu Jan  4 18:59:18 UTC 2018
#@# CA Normalize Thu Jan  4 19:38:31 UTC 2018
#@# CA Reg Thu Jan  4 19:41:36 UTC 2018
#@# SubCort Seg Fri Jan  5 01:00:51 UTC 2018
#@# Merge ASeg Fri Jan  5 03:15:27 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 03:15:27 UTC 2018
#@# Mask BFS Fri Jan  5 03:21:22 UTC 2018
#@# WM Segmentation Fri Jan  5 03:21:26 UTC 2018
#@# Fill Fri Jan  5 03:24:33 UTC 2018
#@# Tessellate lh Fri Jan  5 03:25:57 UTC 2018
#@# Tessellate rh Fri Jan  5 03:26:09 UTC 2018
#@# Smooth1 lh Fri Jan  5 03:26:19 UTC 2018
#@# Smooth1 rh Fri Jan  5 03:26:27 UTC 2018
#@# Inflation1 lh Fri Jan  5 03:26:35 UTC 2018
#@# Inflation1 rh Fri Jan  5 03:27:22 UTC 2018
#@# QSphere lh Fri Jan  5 03:28:11 UTC 2018
#@# QSphere rh Fri Jan  5 03:33:06 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 03:38:08 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 03:38:08 UTC 2018
#@# Fix Topology lh Fri Jan  5 03:38:08 UTC 2018
#@# Fix Topology rh Fri Jan  5 05:45:01 UTC 2018
#@# Make White Surf lh Fri Jan  5 09:36:17 UTC 2018
#@# Make White Surf rh Fri Jan  5 09:43:37 UTC 2018
#@# Smooth2 lh Fri Jan  5 09:50:24 UTC 2018
#@# Smooth2 rh Fri Jan  5 09:50:31 UTC 2018
#@# Inflation2 lh Fri Jan  5 09:50:38 UTC 2018
#@# Inflation2 rh Fri Jan  5 09:51:21 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 09:52:04 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 09:53:54 UTC 2018
#@# Curvature Stats lh Fri Jan  5 09:55:45 UTC 2018
#@# Curvature Stats rh Fri Jan  5 09:55:49 UTC 2018
#@# Sphere lh Fri Jan  5 09:55:54 UTC 2018
#@# Sphere rh Fri Jan  5 11:21:33 UTC 2018
#@# Surf Reg lh Fri Jan  5 12:09:26 UTC 2018
#@# Surf Reg rh Fri Jan  5 13:11:39 UTC 2018
#@# Jacobian white lh Fri Jan  5 14:39:27 UTC 2018
#@# Jacobian white rh Fri Jan  5 14:39:29 UTC 2018
#@# AvgCurv lh Fri Jan  5 14:39:31 UTC 2018
#@# AvgCurv rh Fri Jan  5 14:39:33 UTC 2018
#@# Cortical Parc lh Fri Jan  5 14:39:35 UTC 2018
#@# Cortical Parc rh Fri Jan  5 14:39:53 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 14:40:10 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 14:59:01 UTC 2018
#@# Surf Volume lh Fri Jan  5 15:18:44 UTC 2018
#@# Surf Volume rh Fri Jan  5 15:18:48 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 15:18:52 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 15:28:25 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 15:30:20 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 15:32:14 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 15:32:41 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 15:33:06 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 15:34:05 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 15:35:03 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 15:35:24 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 15:35:44 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 15:36:40 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 15:37:37 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 15:37:44 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 15:37:52 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 15:38:25 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 15:47:03 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 15:55:35 UTC 2018
#@# APas-to-ASeg Fri Jan  5 16:04:03 UTC 2018
#@# ASeg Stats Fri Jan  5 16:04:14 UTC 2018
#@# WMParc Fri Jan  5 16:10:01 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 16:28:02 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 16:34:56 UTC 2018
recon-all -s 3432 finished without error at Fri Jan  5 16:41:51 UTC 2018
