status file for recon-all
Mon Jan  1 23:57:10 UTC 2018
#@# MotionCor Mon Jan  1 23:57:17 UTC 2018
#@# Talairach Mon Jan  1 23:57:39 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 00:01:37 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 00:01:37 UTC 2018
#@# Intensity Normalization Tue Jan  2 00:06:10 UTC 2018
#@# Skull Stripping Tue Jan  2 00:10:18 UTC 2018
#@# EM Registration Tue Jan  2 00:43:16 UTC 2018
#@# CA Normalize Tue Jan  2 01:11:59 UTC 2018
#@# CA Reg Tue Jan  2 01:15:04 UTC 2018
#@# SubCort Seg Tue Jan  2 06:09:24 UTC 2018
#@# Merge ASeg Tue Jan  2 08:43:13 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 08:43:13 UTC 2018
#@# Mask BFS Tue Jan  2 08:49:29 UTC 2018
#@# WM Segmentation Tue Jan  2 08:49:34 UTC 2018
#@# Fill Tue Jan  2 08:54:19 UTC 2018
#@# Tessellate lh Tue Jan  2 08:55:53 UTC 2018
#@# Tessellate rh Tue Jan  2 08:56:06 UTC 2018
#@# Smooth1 lh Tue Jan  2 08:56:16 UTC 2018
#@# Smooth1 rh Tue Jan  2 08:56:27 UTC 2018
#@# Inflation1 lh Tue Jan  2 08:56:38 UTC 2018
#@# Inflation1 rh Tue Jan  2 08:57:44 UTC 2018
#@# QSphere lh Tue Jan  2 08:58:49 UTC 2018
#@# QSphere rh Tue Jan  2 09:05:55 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 09:13:00 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 09:13:00 UTC 2018
#@# Fix Topology lh Tue Jan  2 09:13:00 UTC 2018
#@# Fix Topology rh Tue Jan  2 10:53:42 UTC 2018
#@# Make White Surf lh Tue Jan  2 12:25:29 UTC 2018
#@# Make White Surf rh Tue Jan  2 12:33:22 UTC 2018
#@# Smooth2 lh Tue Jan  2 12:41:22 UTC 2018
#@# Smooth2 rh Tue Jan  2 12:41:32 UTC 2018
#@# Inflation2 lh Tue Jan  2 12:41:42 UTC 2018
#@# Inflation2 rh Tue Jan  2 12:42:44 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 12:43:45 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 12:46:20 UTC 2018
#@# Curvature Stats lh Tue Jan  2 12:48:54 UTC 2018
#@# Curvature Stats rh Tue Jan  2 12:49:01 UTC 2018
#@# Sphere lh Tue Jan  2 12:49:08 UTC 2018
#@# Sphere rh Tue Jan  2 15:42:10 UTC 2018
#@# Surf Reg lh Tue Jan  2 17:19:56 UTC 2018
#@# Surf Reg rh Tue Jan  2 19:20:24 UTC 2018
#@# Jacobian white lh Tue Jan  2 21:03:03 UTC 2018
#@# Jacobian white rh Tue Jan  2 21:03:07 UTC 2018
#@# AvgCurv lh Tue Jan  2 21:03:11 UTC 2018
#@# AvgCurv rh Tue Jan  2 21:03:14 UTC 2018
#@# Cortical Parc lh Tue Jan  2 21:03:17 UTC 2018
#@# Cortical Parc rh Tue Jan  2 21:03:43 UTC 2018
#@# Make Pial Surf lh Tue Jan  2 21:04:10 UTC 2018
#@# Make Pial Surf rh Tue Jan  2 21:31:12 UTC 2018
#@# Surf Volume lh Tue Jan  2 21:59:04 UTC 2018
#@# Surf Volume rh Tue Jan  2 21:59:11 UTC 2018
#@# Cortical ribbon mask Tue Jan  2 21:59:17 UTC 2018
#@# Parcellation Stats lh Tue Jan  2 22:22:34 UTC 2018
#@# Parcellation Stats rh Tue Jan  2 22:25:12 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  2 22:27:49 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  2 22:28:26 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  2 22:29:02 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  2 22:30:21 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  2 22:31:42 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  2 22:32:11 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  2 22:32:40 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  2 22:33:58 UTC 2018
#@# WM/GM Contrast lh Tue Jan  2 22:35:16 UTC 2018
#@# WM/GM Contrast rh Tue Jan  2 22:35:29 UTC 2018
#@# Relabel Hypointensities Tue Jan  2 22:35:41 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  2 22:36:26 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  2 22:45:37 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  2 22:54:13 UTC 2018
#@# APas-to-ASeg Tue Jan  2 23:02:49 UTC 2018
#@# ASeg Stats Tue Jan  2 23:03:01 UTC 2018
#@# WMParc Tue Jan  2 23:10:47 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  2 23:30:09 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  2 23:39:13 UTC 2018
recon-all -s 3281 finished without error at Tue Jan  2 23:48:25 UTC 2018
