status file for recon-all
Wed Jan  3 23:27:10 UTC 2018
#@# MotionCor Wed Jan  3 23:27:19 UTC 2018
#@# Talairach Wed Jan  3 23:27:47 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 23:32:30 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 23:32:30 UTC 2018
#@# Intensity Normalization Wed Jan  3 23:38:00 UTC 2018
#@# Skull Stripping Wed Jan  3 23:42:42 UTC 2018
#@# EM Registration Thu Jan  4 00:32:21 UTC 2018
#@# CA Normalize Thu Jan  4 01:28:35 UTC 2018
#@# CA Reg Thu Jan  4 01:32:08 UTC 2018
#@# SubCort Seg Thu Jan  4 08:01:15 UTC 2018
#@# Merge ASeg Thu Jan  4 10:25:34 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 10:25:34 UTC 2018
#@# Mask BFS Thu Jan  4 10:33:24 UTC 2018
#@# WM Segmentation Thu Jan  4 10:33:29 UTC 2018
#@# Fill Thu Jan  4 10:38:23 UTC 2018
#@# Tessellate lh Thu Jan  4 10:40:12 UTC 2018
#@# Tessellate rh Thu Jan  4 10:40:26 UTC 2018
#@# Smooth1 lh Thu Jan  4 10:40:41 UTC 2018
#@# Smooth1 rh Thu Jan  4 10:40:53 UTC 2018
#@# Inflation1 lh Thu Jan  4 10:41:05 UTC 2018
#@# Inflation1 rh Thu Jan  4 10:42:23 UTC 2018
#@# QSphere lh Thu Jan  4 10:43:35 UTC 2018
#@# QSphere rh Thu Jan  4 10:51:26 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 10:59:11 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 10:59:11 UTC 2018
#@# Fix Topology lh Thu Jan  4 10:59:11 UTC 2018
#@# Fix Topology rh Thu Jan  4 12:08:59 UTC 2018
#@# Make White Surf lh Thu Jan  4 13:29:58 UTC 2018
#@# Make White Surf rh Thu Jan  4 13:40:14 UTC 2018
#@# Smooth2 lh Thu Jan  4 13:49:41 UTC 2018
#@# Smooth2 rh Thu Jan  4 13:49:52 UTC 2018
#@# Inflation2 lh Thu Jan  4 13:50:03 UTC 2018
#@# Inflation2 rh Thu Jan  4 13:51:09 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 13:52:13 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 13:55:02 UTC 2018
#@# Curvature Stats lh Thu Jan  4 13:57:43 UTC 2018
#@# Curvature Stats rh Thu Jan  4 13:57:49 UTC 2018
#@# Sphere lh Thu Jan  4 13:57:55 UTC 2018
#@# Sphere rh Thu Jan  4 15:22:47 UTC 2018
#@# Surf Reg lh Thu Jan  4 16:39:10 UTC 2018
#@# Surf Reg rh Thu Jan  4 17:57:26 UTC 2018
#@# Jacobian white lh Thu Jan  4 19:57:19 UTC 2018
#@# Jacobian white rh Thu Jan  4 19:57:23 UTC 2018
#@# AvgCurv lh Thu Jan  4 19:57:27 UTC 2018
#@# AvgCurv rh Thu Jan  4 19:57:31 UTC 2018
#@# Cortical Parc lh Thu Jan  4 19:57:35 UTC 2018
#@# Cortical Parc rh Thu Jan  4 19:58:07 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 19:58:38 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 20:28:58 UTC 2018
#@# Surf Volume lh Thu Jan  4 20:58:54 UTC 2018
#@# Surf Volume rh Thu Jan  4 20:59:02 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 20:59:10 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 21:27:23 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 21:30:22 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 21:33:23 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 21:34:05 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 21:34:46 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 21:36:15 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 21:37:45 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 21:38:16 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 21:38:46 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 21:40:10 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 21:41:37 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 21:41:51 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 21:42:05 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 21:43:00 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 21:53:24 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 22:03:34 UTC 2018
#@# APas-to-ASeg Thu Jan  4 22:13:22 UTC 2018
#@# ASeg Stats Thu Jan  4 22:13:37 UTC 2018
#@# WMParc Thu Jan  4 22:22:58 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 22:46:17 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 22:56:57 UTC 2018
recon-all -s 3371 finished without error at Thu Jan  4 23:07:26 UTC 2018
