status file for recon-all
Mon Jan  8 19:16:47 UTC 2018
#@# MotionCor Mon Jan  8 19:16:53 UTC 2018
#@# Talairach Mon Jan  8 19:17:15 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:20:13 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:20:13 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:23:41 UTC 2018
#@# Skull Stripping Mon Jan  8 19:28:22 UTC 2018
#@# EM Registration Mon Jan  8 20:03:16 UTC 2018
#@# CA Normalize Mon Jan  8 20:37:07 UTC 2018
#@# CA Reg Mon Jan  8 20:39:54 UTC 2018
#@# SubCort Seg Tue Jan  9 01:54:59 UTC 2018
#@# Merge ASeg Tue Jan  9 03:37:20 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 03:37:20 UTC 2018
#@# Mask BFS Tue Jan  9 03:43:54 UTC 2018
#@# WM Segmentation Tue Jan  9 03:43:58 UTC 2018
#@# Fill Tue Jan  9 03:47:34 UTC 2018
#@# Tessellate lh Tue Jan  9 03:49:16 UTC 2018
#@# Tessellate rh Tue Jan  9 03:49:26 UTC 2018
#@# Smooth1 lh Tue Jan  9 03:49:36 UTC 2018
#@# Smooth1 rh Tue Jan  9 03:49:44 UTC 2018
#@# Inflation1 lh Tue Jan  9 03:49:52 UTC 2018
#@# Inflation1 rh Tue Jan  9 03:50:44 UTC 2018
#@# QSphere lh Tue Jan  9 03:51:38 UTC 2018
#@# QSphere rh Tue Jan  9 03:57:42 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 04:04:15 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 04:04:15 UTC 2018
#@# Fix Topology lh Tue Jan  9 04:04:15 UTC 2018
#@# Fix Topology rh Tue Jan  9 04:42:06 UTC 2018
#@# Make White Surf lh Tue Jan  9 05:10:00 UTC 2018
#@# Make White Surf rh Tue Jan  9 05:18:02 UTC 2018
#@# Smooth2 lh Tue Jan  9 05:26:47 UTC 2018
#@# Smooth2 rh Tue Jan  9 05:26:55 UTC 2018
#@# Inflation2 lh Tue Jan  9 05:27:05 UTC 2018
#@# Inflation2 rh Tue Jan  9 05:27:57 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 05:28:53 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 05:30:58 UTC 2018
#@# Curvature Stats lh Tue Jan  9 05:33:08 UTC 2018
#@# Curvature Stats rh Tue Jan  9 05:33:14 UTC 2018
#@# Sphere lh Tue Jan  9 05:33:20 UTC 2018
#@# Sphere rh Tue Jan  9 06:51:47 UTC 2018
#@# Surf Reg lh Tue Jan  9 08:07:26 UTC 2018
#@# Surf Reg rh Tue Jan  9 09:13:04 UTC 2018
#@# Jacobian white lh Tue Jan  9 10:18:08 UTC 2018
#@# Jacobian white rh Tue Jan  9 10:18:11 UTC 2018
#@# AvgCurv lh Tue Jan  9 10:18:14 UTC 2018
#@# AvgCurv rh Tue Jan  9 10:18:17 UTC 2018
#@# Cortical Parc lh Tue Jan  9 10:18:19 UTC 2018
#@# Cortical Parc rh Tue Jan  9 10:18:42 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 10:19:04 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 10:40:39 UTC 2018
#@# Surf Volume lh Tue Jan  9 11:02:43 UTC 2018
#@# Surf Volume rh Tue Jan  9 11:02:48 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 11:02:53 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 11:22:14 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 11:24:18 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 11:26:27 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 11:26:55 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 11:27:24 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 11:28:27 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 11:29:31 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 11:29:55 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 11:30:18 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 11:31:18 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 11:32:21 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 11:32:31 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 11:32:41 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 11:33:18 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 11:40:57 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 11:48:34 UTC 2018
#@# APas-to-ASeg Tue Jan  9 11:56:11 UTC 2018
#@# ASeg Stats Tue Jan  9 11:56:24 UTC 2018
#@# WMParc Tue Jan  9 12:02:40 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 12:18:52 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 12:26:23 UTC 2018
recon-all -s 3514 finished without error at Tue Jan  9 12:34:03 UTC 2018
