status file for recon-all
Thu Jan  4 17:57:37 UTC 2018
#@# MotionCor Thu Jan  4 17:57:41 UTC 2018
#@# Talairach Thu Jan  4 17:58:00 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:02:11 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:02:12 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:05:55 UTC 2018
#@# Skull Stripping Thu Jan  4 18:10:37 UTC 2018
#@# EM Registration Thu Jan  4 18:47:35 UTC 2018
#@# CA Normalize Thu Jan  4 19:18:53 UTC 2018
#@# CA Reg Thu Jan  4 19:21:57 UTC 2018
#@# SubCort Seg Fri Jan  5 00:47:32 UTC 2018
#@# Merge ASeg Fri Jan  5 03:11:13 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 03:11:13 UTC 2018
#@# Mask BFS Fri Jan  5 03:17:09 UTC 2018
#@# WM Segmentation Fri Jan  5 03:17:12 UTC 2018
#@# Fill Fri Jan  5 03:21:16 UTC 2018
#@# Tessellate lh Fri Jan  5 03:22:40 UTC 2018
#@# Tessellate rh Fri Jan  5 03:22:51 UTC 2018
#@# Smooth1 lh Fri Jan  5 03:23:01 UTC 2018
#@# Smooth1 rh Fri Jan  5 03:23:11 UTC 2018
#@# Inflation1 lh Fri Jan  5 03:23:21 UTC 2018
#@# Inflation1 rh Fri Jan  5 03:24:19 UTC 2018
#@# QSphere lh Fri Jan  5 03:25:18 UTC 2018
#@# QSphere rh Fri Jan  5 03:31:39 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 03:38:00 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 03:38:00 UTC 2018
#@# Fix Topology lh Fri Jan  5 03:38:00 UTC 2018
#@# Fix Topology rh Fri Jan  5 04:50:57 UTC 2018
#@# Make White Surf lh Fri Jan  5 05:42:42 UTC 2018
#@# Make White Surf rh Fri Jan  5 05:50:35 UTC 2018
#@# Smooth2 lh Fri Jan  5 05:58:37 UTC 2018
#@# Smooth2 rh Fri Jan  5 05:58:46 UTC 2018
#@# Inflation2 lh Fri Jan  5 05:58:56 UTC 2018
#@# Inflation2 rh Fri Jan  5 05:59:54 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 06:00:52 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 06:03:20 UTC 2018
#@# Curvature Stats lh Fri Jan  5 06:05:48 UTC 2018
#@# Curvature Stats rh Fri Jan  5 06:05:54 UTC 2018
#@# Sphere lh Fri Jan  5 06:06:01 UTC 2018
#@# Sphere rh Fri Jan  5 07:26:54 UTC 2018
#@# Surf Reg lh Fri Jan  5 08:51:46 UTC 2018
#@# Surf Reg rh Fri Jan  5 10:26:59 UTC 2018
#@# Jacobian white lh Fri Jan  5 12:06:50 UTC 2018
#@# Jacobian white rh Fri Jan  5 12:06:53 UTC 2018
#@# AvgCurv lh Fri Jan  5 12:06:56 UTC 2018
#@# AvgCurv rh Fri Jan  5 12:06:59 UTC 2018
#@# Cortical Parc lh Fri Jan  5 12:07:02 UTC 2018
#@# Cortical Parc rh Fri Jan  5 12:07:25 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 12:07:48 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 12:32:34 UTC 2018
#@# Surf Volume lh Fri Jan  5 12:57:35 UTC 2018
#@# Surf Volume rh Fri Jan  5 12:57:40 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 12:57:46 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 13:19:02 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 13:21:19 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 13:23:42 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 13:24:15 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 13:24:50 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 13:26:06 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 13:27:23 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 13:27:50 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 13:28:17 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 13:29:32 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 13:30:47 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 13:30:57 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 13:31:07 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 13:31:50 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 13:39:43 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 13:47:38 UTC 2018
#@# APas-to-ASeg Fri Jan  5 13:55:32 UTC 2018
#@# ASeg Stats Fri Jan  5 13:55:44 UTC 2018
#@# WMParc Fri Jan  5 14:02:08 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 14:19:42 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 14:28:02 UTC 2018
recon-all -s 3434 finished without error at Fri Jan  5 14:36:21 UTC 2018
